Files	Type	qPCR_experiment	qPCR_run	annotation_status	annotation_reason
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_070721.lc96p	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_070721_02 - Abs Quant.txt	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_070721_02 - Abs Quant.xlsx	summary	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_070721_02.lc96p	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_070721_03 - Abs Quant.txt	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_070721_03 - Abs Quant.xlsx	summary	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_070721_03.lc96p	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_080721_01 - Abs Quant.txt	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_080721_01 - Abs Quant.xlsx	summary	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_080721_01.lc96p	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_110621.lc96p	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_140621 - Abs Quant.txt	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_140621 - Abs Quant.xlsx	summary	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_140621.lc96p	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_140621_02 - Abs Quant.txt	qPCR output	Whi7		unresolved	no qPCR run folder
